"Num","Title","Category","File","Exists"
"151","Home and Office Cleaning Business","COTTAGE INDUSTRY","course.html?f=home-office-cleaning-course","MISSING"
"152","Car Washing and Detailing Business","AUTOMOTIVE","course.html?f=car-washing-detailing-course","MISSING"
"153","Pest Control Business (Basic to Medium)","CHEMICALS","course.html?f=pest-control-basic-course","MISSING"
"154","Event Services Business (Planning and Decor)","BUSINESS","course.html?f=event-services-course","MISSING"
"155","Recycling and Green Business","BUSINESS","course.html?f=recycling-green-business-course","MISSING"
"156","Transport and Logistics Business","BUSINESS","course.html?f=transport-logistics-course","MISSING"
"157","Herbal and Natural Skincare Products","COTTAGE INDUSTRY","course.html?f=herbal-skincare-products-course","MISSING"
"158","Education and Training Business","BUSINESS","course.html?f=education-training-business-course","MISSING"
"159","Small Kiosk and Tuck Shop Business","BUSINESS","course.html?f=small-kiosk-tuck-shop-course","MISSING"
"160","Reselling on Social Media Platforms","BUSINESS","course.html?f=reselling-social-media-course","MISSING"
"161","Tech and Digital Services Business","TECHNOLOGY","course.html?f=tech-digital-services-course","MISSING"
"162","Second-Hand / Thrift Shop Business (Okrika)","BUSINESS","course.html?f=thrift-shop-okrika-course","MISSING"
"163","Home-Based Catering for Small Events","FOOD PROCESSING","course.html?f=home-based-catering-course","MISSING"
"164","Fortified Corn-Soy Porridge for Malnourished Children","FOOD PROCESSING","course.html?f=fortified-corn-soy-porridge-course","MISSING"
"165","Snail Farming (Heliciculture) Business","AGRICULTURE","course.html?f=snail-farming-course","MISSING"
"166","Seedling Nursery for Farmers","AGRICULTURE","course.html?f=seedling-nursery-farmers-course","MISSING"
"167","Petrol and Diesel Engine Fundamentals: 0 to 12 Litres","VOCATIONAL","course.html?f=engine-fundamentals-course","MISSING"
"168","Convert a Car Engine to an Irrigation Water Pump","VOCATIONAL","course.html?f=engine-to-irrigation-pump-course","MISSING"
"169","How to Start a Business in Africa","BUSINESS","course.html?f=how-to-start-a-business-course","MISSING"
"170","Mushroom Seed (Spawn) Production Business","AGRICULTURE","course.html?f=mushroom-seed-production-course","MISSING"
"171","Brick Making Business with Bank and Mobile Money Integration","CONSTRUCTION","course.html?f=brick-making-business-banking-course","MISSING"
"172","Farm Building Construction","CONSTRUCTION","course.html?f=farm-building-construction-module-1","MISSING"
"173","Welding Fundamentals","VOCATIONAL","course.html?f=welding-fundamentals-module-1","MISSING"
"174","Processing a Pig Fully","FOOD PROCESSING","generated_courses/pork-processing-full.html","YES"
"175","Wind Turbine Basics","ENERGY","generated_courses/wind-turbine-basics.html","YES"
"176","Smelting Fundamentals","VOCATIONAL","generated_courses/smelting-fundamentals.html","YES"
"177","Basic Blacksmithing","VOCATIONAL","generated_courses/basic-blacksmithing.html","YES"
"178","Buildings for Preservation (10 Methods)","CONSTRUCTION","generated_courses/buildings-for-preservation-10-methods-.html","YES"
"179","Fish Pond Construction","AGRICULTURE","generated_courses/fish-pond-construction.html","YES"
"180","Beehive Construction","AGRICULTURE","generated_courses/beehive-construction.html","YES"
"181","Cold Room for 4-10 Beasts","BUSINESS","generated_courses/cold-room-for-10-beasts.html","MISSING"
"182","Pizza Oven Construction (Wood-Fired 12 Pizza)","FOOD PROCESSING","generated_courses/pizza-oven-construction-wood-fired-12-pizza.html","YES"
"183","Aluminium Welding Fundamentals","VOCATIONAL","generated_courses/aluminium-welding-fundamentals.html","YES"
"184","Small Chinese Machines","BUSINESS","generated_courses/small-chinese-machines.html","YES"
"185","Small Machines &amp; Pharmaceuticals Import","BUSINESS","generated_courses/small-machines-pharmaceuticals-import.html","YES"
"186","Sheet Metal Work","VOCATIONAL","generated_courses/sheet-metal-work.html","YES"
"187","Bladesmithing","VOCATIONAL","generated_courses/bladesmithing.html","YES"
"188","Ornamental Ironwork","VOCATIONAL","generated_courses/ornamental-ironwork.html","YES"
"189","Metal Casting and Foundry Work","VOCATIONAL","generated_courses/metal-casting-foundry.html","YES"
"190","Tool Making for Agriculture","VOCATIONAL","generated_courses/tool-making-for-agriculture.html","YES"
"191","Gate and Fence Making","VOCATIONAL","generated_courses/gate-and-fence-making.html","YES"
"192","Metal Sculpture","VOCATIONAL","generated_courses/metal-sculpture.html","YES"
"193","Advanced Welding Techniques","VOCATIONAL","generated_courses/advanced-welding.html","YES"
"194","Riveting and Fastener Work","VOCATIONAL","generated_courses/rivet-and-fastener-work.html","YES"
"195","Metal Furniture Making","MANUFACTURING","generated_courses/metal-furniture-making.html","YES"
"196","Daily Broiler Sales: Batch Production","AGRICULTURE","generated_courses/daily-broiler-sales.html","YES"
"197","Daily Egg Sales: Layer Flock System","AGRICULTURE","generated_courses/daily-egg-sales.html","YES"
"198","Daily Milk Sales: Dairy Herd System","AGRICULTURE","generated_courses/daily-milk-sales.html","YES"
"199","Daily Bread Sales: Bakery Production","FOOD PROCESSING","generated_courses/daily-bread-sales.html","YES"
"200","Artisan Gold Mining","VOCATIONAL","generated_courses/artisan-gold-mining.html","YES"
"201","Gold Smelting and Refining","VOCATIONAL","generated_courses/gold-smelting-refining.html","YES"
"202","Daily Pig Sales: Batch Farrowing","AGRICULTURE","generated_courses/daily-pig-sales.html","YES"
"203","African Street Food Business","FOOD PROCESSING","generated_courses/african-street-food.html","YES"
